"CountryCode","year","population","region"
"SVN",1960,1584720,"Europe"
"SWE",1960,7484656,"Europe"
"SWZ",1960,349174,"Africa"
"SXM",1960,NA,"Americas"
"SYC",1960,41700,"Africa"
"SYR",1960,4573512,"Asia"
"TCA",1960,5726,"Americas"
"TCD",1960,3001593,"Africa"
"TGO",1960,1580513,"Africa"
"THA",1960,27397175,"Asia"
"TJK",1960,2087038,"Asia"
"TKM",1960,1603258,"Asia"
"TLS",1960,499950,"Asia"
"TON",1960,61601,"Oceania"
"TTO",1960,848479,"Americas"
"TUN",1960,4176266,"Africa"
"TUR",1960,27472331,"Asia"
"TUV",1960,6104,"Oceania"
"TZA",1960,10074507,"Africa"
"UGA",1960,6788214,"Africa"
"UKR",1960,42662149,"Europe"
"URY",1960,2538651,"Americas"
"USA",1960,180671000,"Americas"
"UZB",1960,8549493,"Asia"
"VCT",1960,80949,"Americas"
"VEN",1960,8146847,"Americas"
"VGB",1960,8033,"Americas"
"VIR",1960,32000,"Americas"
"VNM",1960,34743000,"Asia"
"VUT",1960,63699,"Oceania"
"WSM",1960,108646,"Oceania"
"YEM",1960,5172135,"Asia"
"ZAF",1960,17396367,"Africa"
"ZMB",1960,3044846,"Africa"
"ZWE",1960,3747369,"Africa"
"ABW",1961,55438,"Americas"
"AFG",1961,9166764,"Asia"
"AGO",1961,5753024,"Africa"
"ALB",1961,1659800,"Europe"
"AND",1961,14375,"Europe"
"ARE",1961,101078,"Asia"
"ARG",1961,20953077,"Americas"
"ARM",1961,1941491,"Asia"
"ASM",1961,20486,"Oceania"
"ATG",1961,56144,"Americas"
"AUS",1961,10483000,"Oceania"
"AUT",1961,7086299,"Europe"
"AZE",1961,4030320,"Asia"
"BDI",1961,2839666,"Africa"
"BEL",1961,9183948,"Europe"
"BEN",1961,2465867,"Africa"
"BFA",1961,4894580,"Africa"
"BGD",1961,49592802,"Asia"
"BGR",1961,7943118,"Europe"
"BHR",1961,167894,"Asia"
"BHS",1961,115108,"Americas"
"BIH",1961,3288602,"Europe"
"BLR",1961,8271216,"Europe"
"BLZ",1961,94703,"Americas"
"BMU",1961,45500,"Americas"
"BOL",1961,3764813,"Americas"
"BRA",1961,74351763,"Americas"
"BRB",1961,231678,"Americas"
"BRN",1961,85596,"Asia"
"BTN",1961,228918,"Asia"
"BWA",1961,537249,"Africa"
"CAF",1961,1529227,"Africa"
"CAN",1961,18271000,"Americas"
"CHE",1961,5434294,"Europe"
"CHL",1961,7890156,"Americas"
"CHN",1961,660330000,"Asia"
"CIV",1961,3694205,"Africa"
"CMR",1961,5285231,"Africa"
"COD",1961,15637733,"Africa"
"COG",1961,1064111,"Africa"
"COL",1961,16982315,"Americas"
"COM",1961,194139,"Africa"
"CPV",1961,205956,"Africa"
"CRI",1961,1381917,"Americas"
"CUB",1961,7289826,"Americas"
"CUW",1961,126125,"Americas"
"CYM",1961,8026,"Americas"
"CYP",1961,576395,"Asia"
"CZE",1961,9586651,"Europe"
"DEU",1961,73377632,"Europe"
"DJI",1961,88498,"Africa"
"DMA",1961,61032,"Americas"
"DNK",1961,4611687,"Europe"
"DOM",1961,3406299,"Americas"
"DZA",1961,11404859,"Africa"
"ECU",1961,4676859,"Americas"
"EGY",1961,27744712,"Africa"
"ERI",1961,1432640,"Africa"
"ESP",1961,30739250,"Europe"
"EST",1961,1225077,"Europe"
"ETH",1961,22671190,"Africa"
"FIN",1961,4461005,"Europe"
"FJI",1961,407156,"Oceania"
"FRA",1961,47444751,"Europe"
"FRO",1961,35115,"Europe"
"FSM",1961,45955,"Oceania"
"GAB",1961,504167,"Africa"
